estacao;data;maxima;minima;media
83967;01/01/2009;27.2;21.2;22.92
83967;02/01/2009;23.5;18.5;19.7
83967;03/01/2009;19;14.8;16.44
83967;04/01/2009;25.4;15.7;20.1
83967;05/01/2009;28;14.7;21.02
83967;06/01/2009;31.5;15;23.18
83967;07/01/2009;33.8;18;26.5
83967;08/01/2009;28.1;21.6;24.26
83967;09/01/2009;26.7;20.3;22.28
83967;10/01/2009;27.6;20.6;23.1
83967;11/01/2009;29.6;18.8;23.88
83967;12/01/2009;31.8;20.1;24.9
83967;13/01/2009;26.4;19.9;23.04
83967;14/01/2009;31.7;20.9;24.64
83967;15/01/2009;29.6;20.9;24.22
83967;16/01/2009;29.2;19.7;23.7
83967;17/01/2009;32.5;20.7;26.16
83967;18/01/2009;33.4;21.7;25.86
83967;19/01/2009;24;18.5;20.24
83967;20/01/2009;26.1;18.5;21.64
83967;21/01/2009;27.6;15.5;21.54
83967;22/01/2009;28;17.4;22.44
83967;23/01/2009;29;18.7;23.26
83967;24/01/2009;29.6;18.4;23.52
83967;25/01/2009;32.2;20;25.8
83967;26/01/2009;33.5;22;26.9
83967;27/01/2009;32.5;21.6;26.1
83967;28/01/2009;32;23;26
83967;29/01/2009;30.5;22.4;26.1
83967;30/01/2009;31.6;21.8;26.68
83967;31/01/2009;28.8;21.4;24.04
83967;01/02/2009;28.2;20.3;22.98
83967;02/02/2009;27.2;19.1;22.92
83967;03/02/2009;33.6;21.3;26.9
83967;04/02/2009;29.1;22.1;23.96
83967;05/02/2009;29;17.4;22.96
83967;06/02/2009;31.4;19.9;26.14
83967;07/02/2009;30.7;23.2;25.14
83967;08/02/2009;30.6;20;24.56
83967;09/02/2009;33.6;20.4;25.52
83967;10/02/2009;34.3;19.7;26.56
83967;11/02/2009;30.2;23.4;25.96
83967;12/02/2009;27.2;18.2;21.72
83967;13/02/2009;29.5;16.1;22.32
83967;14/02/2009;30.4;18;23.48
83967;15/02/2009;30.4;18.4;23.74
83967;16/02/2009;33.2;21.8;26.8
83967;17/02/2009;33;22.5;27.24
83967;18/02/2009;32.6;23.9;27.46
83967;19/02/2009;30.4;23.2;26
83967;20/02/2009;32;22.1;26.54
83967;21/02/2009;30.8;22.2;26.16
83967;22/02/2009;34;22.6;27.76
83967;23/02/2009;28.4;22;23.52
83967;24/02/2009;27;18.7;22.34
83967;25/02/2009;26.9;19.1;22.76
83967;26/02/2009;25.5;20.3;22.74
83967;27/02/2009;28.6;21.6;23.6
83967;28/02/2009;28.7;21.8;24.34
83967;01/03/2009;31.8;22.1;26.3
83967;02/03/2009;26.8;23.6;24.04
83967;03/03/2009;30;21.3;24.48
83967;04/03/2009;33.8;21.5;26.58
83967;05/03/2009;28.1;22.5;24.12
83967;06/03/2009;27.5;20;22.98
83967;07/03/2009;29.4;19.4;23.66
83967;08/03/2009;29.9;21.1;23.24
83967;09/03/2009;27.2;19.6;23.12
