estacao;data;maxima;minima;media
83967;01/06/1967;;;
83967;02/06/1967;;;
83967;03/06/1967;;;
83967;04/06/1967;;;
83967;05/06/1967;;;
83967;06/06/1967;;;
83967;07/06/1967;;;
83967;08/06/1967;;;
83967;09/06/1967;;;
83967;10/06/1967;;;
83967;11/06/1967;;;
83967;12/06/1967;;;
83967;13/06/1967;;;
83967;14/06/1967;;;
83967;15/06/1967;;;
83967;16/06/1967;;;
83967;17/06/1967;;;
83967;18/06/1967;;;
83967;19/06/1967;;;
83967;20/06/1967;;;
83967;21/06/1967;;;
83967;22/06/1967;;;
83967;23/06/1967;;;
83967;24/06/1967;;;
83967;25/06/1967;;;
83967;26/06/1967;;;
83967;27/06/1967;;;
83967;28/06/1967;;;
83967;29/06/1967;;;
83967;30/06/1967;;;
