estacao;data;maxima;minima;media
83967;07/01/1981;;;
83967;21/01/1981;;;
83967;29/01/1981;;;
83967;03/02/1981;;;
83967;04/02/1981;;;
83967;07/02/1981;;;
83967;09/02/1981;;;
83967;10/02/1981;;;
83967;14/02/1981;;;
83967;17/02/1981;;;
83967;22/02/1981;;;
83967;26/02/1981;;;
83967;28/02/1981;;;
83967;11/03/1981;;;
83967;15/03/1981;;;
83967;30/03/1981;;;
83967;01/04/1981;;;
83967;16/04/1981;;;
83967;20/04/1981;;;
83967;23/04/1981;;;
83967;26/04/1981;;;
83967;01/05/1981;;;
83967;05/05/1981;;;
83967;11/05/1981;;;
83967;20/05/1981;;;
83967;23/05/1981;;;
83967;26/05/1981;;;
83967;02/06/1981;;;
83967;03/06/1981;;;
83967;04/06/1981;;;
83967;06/06/1981;;;
83967;10/06/1981;;;
83967;11/06/1981;;;
83967;15/06/1981;;;
83967;16/06/1981;;;
83967;18/06/1981;;;
83967;19/06/1981;;;
83967;20/06/1981;;;
83967;21/06/1981;;;
83967;22/06/1981;;;
83967;26/06/1981;;;
83967;28/06/1981;;;
83967;29/06/1981;;;
83967;30/06/1981;;;
83967;03/07/1981;;;
83967;17/07/1981;;;
83967;18/07/1981;;;
83967;19/07/1981;;;
83967;20/07/1981;;;
83967;21/07/1981;;;
83967;25/07/1981;;;
83967;29/07/1981;;;
83967;30/07/1981;;;
83967;01/08/1981;;;
83967;03/08/1981;;;
83967;08/08/1981;;;
83967;10/08/1981;;;
83967;12/08/1981;;;
83967;26/08/1981;;;
83967;28/08/1981;;;
83967;30/08/1981;;;
83967;02/09/1981;;;
83967;03/09/1981;;;
83967;09/09/1981;;;
83967;10/09/1981;;;
83967;13/09/1981;;;
83967;14/09/1981;;;
83967;15/09/1981;;;
83967;17/09/1981;;;
83967;20/09/1981;;;
83967;23/09/1981;;;
83967;24/09/1981;;;
83967;25/09/1981;;;
83967;29/09/1981;;;
83967;07/10/1981;;;
83967;12/10/1981;;;
83967;16/10/1981;;;
83967;26/10/1981;;;
83967;28/10/1981;;;
83967;06/12/1981;;;
83967;15/12/1981;;;
83967;16/12/1981;;;
83967;22/12/1981;;;
