estacao;data;maxima;minima;media
83967;08/02/1979;;;
83967;13/02/1979;;;
83967;15/04/1979;;;
83967;20/04/1979;;;
83967;01/05/1979;;;
83967;04/05/1979;;;
83967;07/05/1979;;;
83967;08/05/1979;;;
83967;09/05/1979;;;
83967;12/05/1979;;;
83967;19/05/1979;;;
83967;29/05/1979;;;
83967;30/05/1979;;;
83967;31/05/1979;;;
83967;03/06/1979;;;
83967;04/06/1979;;;
83967;12/06/1979;;;
83967;15/06/1979;;;
83967;18/06/1979;;;
83967;21/06/1979;;;
83967;28/06/1979;;;
83967;29/06/1979;;;
83967;02/07/1979;;;
83967;04/07/1979;;;
83967;07/07/1979;;;
83967;08/07/1979;;;
83967;10/07/1979;;;
83967;12/07/1979;;;
83967;16/07/1979;;;
83967;17/07/1979;;;
83967;18/07/1979;;;
83967;19/07/1979;;;
83967;21/07/1979;;;
83967;23/07/1979;;;
83967;28/07/1979;;;
83967;31/07/1979;;;
83967;13/08/1979;;;
83967;14/08/1979;;;
83967;15/08/1979;;;
83967;16/08/1979;;;
83967;17/08/1979;;;
83967;18/08/1979;;;
83967;26/08/1979;;;
83967;30/08/1979;;;
83967;31/08/1979;;;
83967;01/09/1979;;;
83967;03/09/1979;;;
83967;05/09/1979;;;
83967;07/09/1979;;;
83967;09/09/1979;;;
83967;16/09/1979;;;
83967;19/09/1979;;;
83967;21/09/1979;;;
83967;27/09/1979;;;
83967;28/09/1979;;;
83967;29/09/1979;;;
83967;30/09/1979;;;
83967;06/10/1979;;;
83967;09/10/1979;;;
83967;13/10/1979;;;
83967;15/10/1979;;;
83967;18/10/1979;;;
83967;24/10/1979;;;
83967;27/10/1979;;;
83967;28/10/1979;;;
83967;07/11/1979;;;
83967;10/11/1979;;;
83967;14/11/1979;;;
83967;16/11/1979;;;
83967;18/11/1979;;;
83967;19/11/1979;;;
83967;24/11/1979;;;
83967;26/11/1979;;;
83967;03/12/1979;;;
83967;07/12/1979;;;
83967;15/12/1979;;;
83967;31/12/1979;;;
